2025-10-24 19:33:25.390849: Partida iniciada: Dificultad: NORMAL, Modo barcos: RUSO
2025-10-24 19:33:26.382670: Jugador: Disparo en (4, 1) - Agua
2025-10-24 19:33:27.184998: IA (NORMAL): Disparo en (8, 0) - Agua
2025-10-24 19:33:27.192072: Jugador: Disparo en (7, 2) - Agua
2025-10-24 19:33:27.993349: IA (NORMAL): Disparo en (3, 4) - Agua
2025-10-24 19:33:28.335849: Jugador: Disparo en (5, 2) - Agua
2025-10-24 19:33:29.137029: IA (NORMAL): Disparo en (9, 0) - Agua
2025-10-24 19:33:29.256943: Jugador: Disparo en (6, 1) - Agua
2025-10-24 19:33:30.058295: IA (NORMAL): Disparo en (2, 8) - Agua
2025-10-24 19:33:30.177833: Jugador: Disparo en (3, 2) - Tocado
2025-10-24 19:33:30.979144: IA (NORMAL): Disparo en (5, 0) - Agua
2025-10-24 19:33:31.212712: Jugador: Disparo en (1, 1) - Agua
2025-10-24 19:33:32.014598: IA (NORMAL): Disparo en (5, 3) - Tocado
2025-10-24 19:33:32.201108: Jugador: Disparo en (2, 2) - Agua
2025-10-24 19:33:33.001545: IA (NORMAL): Disparo en (1, 7) - Tocado
2025-10-24 19:33:33.006949: Jugador: Disparo en (3, 1) - Agua
2025-10-24 19:33:33.807045: IA (NORMAL): Disparo en (9, 8) - Tocado
2025-10-24 19:33:34.740401: Jugador: Disparo en (3, 3) - Hundido
2025-10-24 19:33:35.542391: IA (NORMAL): Disparo en (7, 0) - Hundido
2025-10-24 19:33:37.228421: Jugador: Disparo en (3, 6) - Agua
2025-10-24 19:33:38.029386: IA (NORMAL): Disparo en (9, 2) - Tocado
2025-10-24 19:33:38.278069: Jugador: Disparo en (3, 5) - Hundido
2025-10-24 19:33:39.079126: IA (NORMAL): Disparo en (5, 8) - Agua
2025-10-24 19:33:42.799919: Jugador: Disparo en (5, 5) - Agua
2025-10-24 19:33:43.601038: IA (NORMAL): Disparo en (2, 1) - Agua
2025-10-24 19:33:43.870206: Jugador: Disparo en (6, 5) - Agua
2025-10-24 19:33:44.672885: IA (NORMAL): Disparo en (9, 5) - Agua
2025-10-24 19:33:44.897773: Jugador: Disparo en (7, 5) - Agua
2025-10-24 19:33:45.699393: IA (NORMAL): Disparo en (8, 8) - Tocado
2025-10-24 19:33:46.350549: Jugador: Disparo en (6, 4) - Agua
2025-10-24 19:33:47.152844: IA (NORMAL): Disparo en (8, 2) - Hundido
2025-10-24 19:33:47.292515: Jugador: Disparo en (6, 3) - Tocado
2025-10-24 19:33:48.092812: IA (NORMAL): Disparo en (7, 3) - Agua
2025-10-24 19:33:48.893080: Jugador: Disparo en (5, 3) - Tocado
2025-10-24 19:33:49.693964: IA (NORMAL): Disparo en (7, 9) - Agua
2025-10-24 19:33:50.013632: Jugador: Disparo en (7, 3) - Hundido
2025-10-24 19:33:50.815531: IA (NORMAL): Disparo en (5, 1) - Agua
2025-10-24 19:33:52.662302: Jugador: Disparo en (9, 1) - Agua
2025-10-24 19:33:53.463463: IA (NORMAL): Disparo en (9, 1) - Agua
2025-10-24 19:33:53.884245: Jugador: Disparo en (9, 2) - Agua
2025-10-24 19:33:54.684865: IA (NORMAL): Disparo en (1, 3) - Tocado
2025-10-24 19:33:55.000065: Jugador: Disparo en (9, 4) - Agua
2025-10-24 19:33:55.800825: IA (NORMAL): Disparo en (0, 2) - Agua
2025-10-24 19:33:56.036643: Jugador: Disparo en (9, 5) - Agua
2025-10-24 19:33:56.837815: IA (NORMAL): Disparo en (4, 2) - Agua
2025-10-24 19:33:57.724277: Jugador: Disparo en (8, 5) - Agua
2025-10-24 19:33:58.525398: IA (NORMAL): Disparo en (1, 2) - Agua
