rank,method,conf,nms_iou,merge_distance,n_images,mean_boxes,std_boxes,median_boxes,mean_area,mean_text_coverage,mean_overlap_ratio,mean_empty_boxes,mean_empty_ratio,mean_tiny_boxes,mean_tiny_ratio,mean_duplicates,total_duplicates,mean_time_ms,score
1,opencv,,,15,18,2.11,0.76,2.00,881357.92,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0,23.04,99.30
2,opencv,,,20,18,2.11,0.76,2.00,881357.92,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0,23.53,99.30
3,opencv,,,10,18,2.11,0.76,2.00,881357.92,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0,25.39,99.30
4,opencv,,,5,18,2.11,0.76,2.00,881357.92,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0,24.13,99.30
5,docling,,0.50,20,18,6.33,3.41,6.50,167647.38,0.58,0.08,0.06,0.01,0.17,0.03,0.00,0,44901.34,54.69
6,docling,,0.40,20,18,6.33,3.41,6.50,167647.38,0.58,0.08,0.06,0.01,0.17,0.03,0.00,0,42212.19,54.69
7,docling,,0.30,20,18,6.33,3.41,6.50,167647.38,0.58,0.08,0.06,0.01,0.17,0.03,0.00,0,44027.30,54.69
8,docling,,0.60,20,18,6.39,3.42,7.00,166720.37,0.58,0.08,0.06,0.01,0.17,0.03,0.00,0,58812.06,54.69
9,paddleocr,,0.50,5,18,12.39,5.94,11.50,57231.72,0.55,0.02,0.00,0.00,0.61,0.04,0.00,0,2524.57,53.45
10,paddleocr,,0.40,5,18,12.39,5.94,11.50,57231.72,0.55,0.02,0.00,0.00,0.61,0.04,0.00,0,2897.68,53.45
11,paddleocr,,0.30,5,18,12.39,5.94,11.50,57231.72,0.55,0.02,0.00,0.00,0.61,0.04,0.00,0,3388.54,53.45
12,paddleocr,,0.60,5,18,12.67,6.30,11.50,56911.98,0.55,0.03,0.00,0.00,0.61,0.04,0.06,1,2523.02,52.87
13,docling,,0.30,10,18,8.61,4.22,8.00,101606.97,0.55,0.04,0.06,0.01,0.39,0.05,0.00,0,58077.02,52.73
14,docling,,0.50,10,18,8.61,4.22,8.00,101606.97,0.55,0.04,0.06,0.01,0.39,0.05,0.00,0,44062.99,52.73
15,docling,,0.40,10,18,8.61,4.22,8.00,101606.97,0.55,0.04,0.06,0.01,0.39,0.05,0.00,0,45030.87,52.73
16,docling,,0.60,10,18,8.67,4.17,8.00,99178.39,0.55,0.04,0.06,0.01,0.39,0.05,0.00,0,41562.56,52.73
17,doclayout,0.10,0.30,5,18,13.67,6.32,12.00,59814.19,0.56,0.08,0.00,0.00,0.61,0.04,0.06,1,15881.93,52.72
