layout_config,ocr_engine,n_images,cer_raw,wer_raw,cer_content,wer_content,content_accuracy,disorder,images_requiring_reorder,reorder_ratio,time_per_image_ms,dup_mean
docling_nms0.30_mg5,deepseek,18,0.427685,0.497307,0.143172,0.177678,0.843026,0.238847,16,0.888889,99767.0,0.0
docling_nms0.40_mg5,deepseek,18,0.427685,0.497307,0.143172,0.177678,0.843026,0.238847,16,0.888889,99283.11,0.0
docling_nms0.50_mg5,deepseek,18,0.427685,0.497307,0.143172,0.177678,0.843026,0.238847,16,0.888889,99164.84,0.0
docling_nms0.30_mg5,tesseract,18,0.406987,0.493088,0.153047,0.175284,0.838058,0.243833,16,0.888889,23690.95,0.0
docling_nms0.40_mg5,tesseract,18,0.406987,0.493088,0.153047,0.175284,0.838058,0.243833,16,0.888889,23425.62,0.0
docling_nms0.50_mg5,tesseract,18,0.406987,0.493088,0.153047,0.175284,0.838058,0.243833,16,0.888889,23367.12,0.0
docling_nms0.60_mg5,deepseek,18,0.43126,0.503083,0.148824,0.183482,0.837313,0.238847,16,0.888889,103124.39,0.0556
docling_nms0.60_mg5,tesseract,18,0.410058,0.498863,0.158648,0.180812,0.832486,0.243833,16,0.888889,24410.54,0.0556
paddleocr_nms0.30_mg5,deepseek,18,0.442137,0.500923,0.161364,0.187545,0.828163,0.242871,16,0.888889,111468.71,0.0
paddleocr_nms0.40_mg5,deepseek,18,0.442137,0.500923,0.161364,0.187545,0.828163,0.242871,16,0.888889,78525.35,0.0
paddleocr_nms0.50_mg5,deepseek,18,0.442137,0.500923,0.161364,0.187545,0.828163,0.242871,16,0.888889,75125.16,0.0
docling_nms0.60_mg10,deepseek,18,0.35598,0.386216,0.161458,0.188792,0.827608,0.152671,12,0.666667,94208.12,0.0556
docling_nms0.60_mg10,tesseract,18,0.33734,0.398143,0.172425,0.197922,0.817376,0.158066,14,0.777778,22797.22,0.0556
paddleocr_nms0.30_mg5,tesseract,18,0.428977,0.524759,0.179279,0.212333,0.807499,0.251766,16,0.888889,6327.67,0.0
paddleocr_nms0.40_mg5,tesseract,18,0.428977,0.524759,0.179279,0.212333,0.807499,0.251766,16,0.888889,5409.41,0.0
paddleocr_nms0.50_mg5,tesseract,18,0.428977,0.524759,0.179279,0.212333,0.807499,0.251766,16,0.888889,5280.89,0.0
docling_nms0.30_mg5,easyocr,18,0.436297,0.529573,0.184114,0.224641,0.799675,0.266643,16,0.888889,31192.41,0.0
docling_nms0.40_mg5,easyocr,18,0.436297,0.529573,0.184114,0.224641,0.799675,0.266643,16,0.888889,30199.83,0.0
docling_nms0.50_mg5,easyocr,18,0.436297,0.529573,0.184114,0.224641,0.799675,0.266643,16,0.888889,30033.81,0.0
docling_nms0.60_mg5,easyocr,18,0.44186,0.535074,0.189716,0.230307,0.794048,0.266643,16,0.888889,30929.71,0.0556
doclayout_conf0.30_nms0.30_mg10,deepseek,18,0.380815,0.410944,0.200635,0.22498,0.789627,0.16179,13,0.722222,84985.86,0.0556
doclayout_conf0.30_nms0.40_mg10,deepseek,18,0.384771,0.414571,0.203918,0.228173,0.78638,0.161471,13,0.722222,87320.81,0.0556
docling_nms0.60_mg10,easyocr,18,0.391961,0.459998,0.202104,0.241442,0.78216,0.197503,14,0.777778,31318.06,0.0556
paddleocr_nms0.30_mg5,easyocr,18,0.459449,0.564639,0.201631,0.252547,0.778003,0.307343,16,0.888889,17680.66,0.0
paddleocr_nms0.40_mg5,easyocr,18,0.459449,0.564639,0.201631,0.252547,0.778003,0.307343,16,0.888889,12057.04,0.0
paddleocr_nms0.50_mg5,easyocr,18,0.459449,0.564639,0.201631,0.252547,0.778003,0.307343,16,0.888889,11610.29,0.0
doclayout_conf0.30_nms0.30_mg10,tesseract,18,0.374374,0.436164,0.21254,0.24091,0.776112,0.169688,14,0.777778,19179.76,0.0556
doclayout_conf0.30_nms0.40_mg10,tesseract,18,0.378217,0.439683,0.21487,0.242829,0.773946,0.169751,14,0.777778,20517.52,0.0556
doclayout_conf0.30_nms0.30_mg10,easyocr,18,0.423871,0.496663,0.245854,0.286581,0.737856,0.242877,15,0.833333,26165.62,0.0556
doclayout_conf0.30_nms0.40_mg10,easyocr,18,0.426975,0.498996,0.247898,0.288774,0.735752,0.242877,15,0.833333,27516.08,0.0556
docling_nms0.60_mg10,paddle,18,0.367411,0.447694,0.272751,0.32304,0.707133,0.242541,12,0.666667,35946.7,0.0556
paddleocr_nms0.30_mg5,paddle,18,0.457469,0.584331,0.289926,0.365007,0.680042,0.342151,15,0.833333,25491.36,0.0
paddleocr_nms0.40_mg5,paddle,18,0.457469,0.584331,0.289926,0.365007,0.680042,0.342151,15,0.833333,20839.11,0.0
paddleocr_nms0.50_mg5,paddle,18,0.457469,0.584331,0.289926,0.365007,0.680042,0.342151,15,0.833333,19986.82,0.0
docling_nms0.30_mg5,paddle,18,0.417767,0.539964,0.301122,0.373141,0.670071,0.336907,14,0.777778,40891.52,0.0
docling_nms0.40_mg5,paddle,18,0.417767,0.539964,0.301122,0.373141,0.670071,0.336907,14,0.777778,38668.17,0.0
docling_nms0.50_mg5,paddle,18,0.417767,0.539964,0.301122,0.373141,0.670071,0.336907,14,0.777778,38617.99,0.0
docling_nms0.60_mg5,paddle,18,0.423128,0.545465,0.306265,0.378393,0.664884,0.336907,14,0.777778,40209.74,0.0556
doclayout_conf0.30_nms0.30_mg10,paddle,18,0.405335,0.494443,0.330465,0.39055,0.645501,0.333535,12,0.666667,31794.87,0.0556
doclayout_conf0.30_nms0.40_mg10,paddle,18,0.407515,0.496482,0.33264,0.392764,0.643311,0.333953,12,0.666667,33281.9,0.0556
